ALPHACODE,PARKNAME
ABLI,Abraham Lincoln Birthplace NHS
ACAD,Acadia NP
ADAM,Adams National Historical Park
ADM,Administration
AGFO,Agate Fossil Beds NM
AKRO,Alaska Region
AKSO,Alaska Support Office
ALAG,Alagnak Wild River
ALFL,Alibates Flint Quarries NM
ALPO,Allegheny Portage Railroad NHS
AMIS,Amistad National Recreation Area
AMME,American Memorial Park
ANCH,Alaska Public Lands Info Ctr - Anchorage
ANDE,Andersonville NHS
ANIA,Aniakchak NM
ANIA,Aniakchak NPres
ANJO,Andrew Johnson NHS
ANTC,Antietam National Cemetery
ANTI,Antietam NB
APCO,Appomattox Court House NHP
APIS,Apostle Islands NL
APPA,Appalachian NST
APPA,Appalachian NST Land Acquisition FO
ARCH,Arches NP
ARHO,"Arlington House, The Robert E. Lee Mem"
ARPO,Arkansas Post NMem
ASIS,Assateague Island NS
AZRU,Aztec Ruins NM
BADL,Badlands NP
BAND,Bandelier NM
BAWA,Baltimore-Washington Parkway
BEFR,Benjamin Franklin NM
BELA,Bering Land Bridge Npres
BEOL,Bent's Old Fort NHS
BIBE,Big Bend NP
BICA,Bighorn Canyon NRA
BICY,Big Cypress Npres
BIHO,Big Hole NB
BISC,Biscayne NP
BISO,Big South Fork NRRA
BITH,Big Thicket National Preserve
BLAC,Blackstone River Valley National Heritage Corridor
BLCA,Black Canyon of the Gunnison NP
BLRI,Blue Ridge Parkway
BLUE,Bluestone NSR
BOAF,Boston African-American NHS
BOHA,Boston Harbor Islands NRA
BOSO,Boston Support Office
BOST,Boston NHP
BOWA,Booker T. Washington NM
BRCA,Bryce Canyon NP
BRCR,Brices Cross Roads NBS
BRVB,Brown v. Board of Education NHS
BUFF,Buffalo National River
BUIS,Buck Island Reef NM
